lat,lon
50.458647790655654,30.486500393904198
50.45751697459897,30.48766639769368
50.45676576478648,30.489137048514763
50.45617161766766,30.490435944495417
50.45618527630592,30.492185696932154
50.4562467401293,30.493978388079004
50.45632831005589,30.496898840216762
50.45643757868961,30.50057009993068
50.456478554362164,30.50196560800909
50.455727328058764,30.5047780935209
50.455385535227826,30.50610358572629
50.455153333915504,30.508314929296667
50.45534455860848,30.512265290626278
50.455440170665106,30.51509924549314
50.45537187635865,30.517654098744377
50.455289823009885,30.51994441512153
50.45505762122774,30.520652903838222
50.45348681453276,30.52176931030094
50.45206621400054,30.522327513532296
50.45143785785109,30.522585145792934
50.4510280558663,30.52333657321978
